PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
M7-22,Monat,10/05/2022,202.03,199.00,217.00,43896,1395,41
M5-22,Monat,10/05/2022,185.55,-,-,-,229803,-
Q3-24,Quartal,10/05/2022,150.62,-,-,-,442,-
M9-22,Monat,10/05/2022,237.28,234.99,239.00,12960,880,8
cal-24,Jahr,10/05/2022,181.24,179.50,183.00,237168,17401,23
Q1-23,Quartal,10/05/2022,255.88,248.00,256.75,101473,13185,31
M9-22,Monat,10/06/2022,216.07,213.50,216.00,23040,2864,19
M7-22,Monat,10/06/2022,182.19,180.50,184.00,172608,7938,139
M3-23,Monat,10/06/2022,240.3,-,-,-,-,-
M2-23,Monat,10/06/2022,288.75,-,-,-,-,-
Q3-24,Quartal,10/06/2022,138.54,138.50,142.00,15456,557,5
cal-23,Jahr,10/06/2022,225.28,223.25,230.00,1051200,76895,95
M1-23,Monat,10/06/2022,294.28,-,-,-,-,-
M12-22,Monat,10/06/2022,274.42,-,-,-,347,-
M11-22,Monat,10/06/2022,270.27,268.50,268.50,1440,94,2
M10-22,Monat,10/06/2022,218.57,-,-,745,670,1
M6-22,Monat,10/06/2022,170.11,-,-,-,233975,-
Q4-24,Quartal,10/06/2022,180.0,180.00,180.00,44180,151,15
M8-22,Monat,10/06/2022,192.82,188.50,193.00,123504,1980,66
Q1-23,Quartal,10/06/2022,273.98,273.50,278.00,112268,15496,37
Q1-24,Quartal,10/06/2022,226.89,228.00,228.00,4366,613,2
cal-25,Jahr,10/06/2022,151.28,152.00,153.00,26280,5611,3
Q3-22,Quartal,10/06/2022,196.82,194.00,197.00,264960,201780,80
Q4-22,Quartal,10/06/2022,254.23,252.00,256.00,75106,187218,28
cal-24,Jahr,10/06/2022,170.82,168.00,180.00,685152,19138,67
Q2-23,Quartal,10/06/2022,190.73,189.00,190.75,32760,6158,12
Q3-23,Quartal,10/06/2022,192.05,191.00,192.50,39744,5810,10
Q4-23,Quartal,10/06/2022,245.05,245.50,252.00,17672,5927,5
Q2-24,Quartal,10/06/2022,138.14,138.00,147.00,21840,467,8
Q3-24,Quartal,11/04/2022,113.21,,,,,
M5-22,Monat,11/04/2022,216.4,,,,,
Q1-24,Quartal,11/04/2022,185.46,,,,,
M9-22,Monat,11/04/2022,264.54,,,,,
M1-23,Monat,11/04/2022,261.77,,,,,
M6-22,Monat,11/04/2022,231.28,,,,,
M10-22,Monat,11/04/2022,251.01,,,,,
Q4-24,Quartal,11/04/2022,143.11,,,,,
Q4-22,Quartal,11/04/2022,254.76,,,,,
M8-22,Monat,11/04/2022,233.33,,,,,
Q1-23,Quartal,11/04/2022,243.75,,,,,
cal-25,Jahr,11/04/2022,118.5,,,,,
Q2-24,Quartal,11/04/2022,114.79,,,,,
M11-22,Monat,11/04/2022,263.34,,,,,
Q4-23,Quartal,11/04/2022,188.63,,,,,
Q2-23,Quartal,11/04/2022,172.8,,,,,
cal-23,Jahr,11/04/2022,192.2,,,,,
Q3-23,Quartal,11/04/2022,164.55,,,,,
cal-24,Jahr,11/04/2022,139.08,,,,,
M4-22,Monat,11/04/2022,180.45,,,,,
cal-26,Jahr,11/04/2022,103.0,,,,,
M7-22,Monat,11/04/2022,238.12,,,,,
Q3-22,Quartal,11/04/2022,245.12,,,,,
M12-22,Monat,11/04/2022,250.21,,,,,
Q3-23,Quartal,11/05/2022,192.72,186.25,191.00,19872,5167,9
Q2-24,Quartal,11/05/2022,161.87,162.00,162.00,10920,335,1
M11-22,Monat,11/05/2022,268.56,-,-,-,69,-
M2-23,Monat,11/05/2022,278.73,-,-,-,-,-
M8-22,Monat,11/05/2022,212.17,210.00,211.00,4464,504,6
cal-23,Jahr,11/05/2022,221.92,213.00,223.00,963600,72019,89
cal-24,Jahr,11/05/2022,187.0,182.00,187.50,412848,17499,32
Q4-22,Quartal,11/05/2022,256.75,252.00,260.00,304842,184107,95
Q4-24,Quartal,11/05/2022,200.29,-,-,-,81,-
Q3-24,Quartal,11/05/2022,154.6,157.00,157.00,11040,447,1
M10-22,Monat,11/05/2022,246.36,-,-,-,535,-
Q2-23,Quartal,11/05/2022,192.73,190.00,193.00,28392,5577,9
Q3-22,Quartal,11/05/2022,221.33,217.62,229.00,532128,195863,161
Q1-24,Quartal,11/05/2022,231.48,-,-,-,518,-
M9-22,Monat,11/05/2022,244.66,245.00,249.00,3600,898,4
Q4-23,Quartal,11/05/2022,238.92,226.00,240.00,72897,5095,16
M7-22,Monat,11/05/2022,207.91,207.00,210.50,19344,1436,18
M6-22,Monat,11/05/2022,198.67,194.00,206.00,277200,224908,244
